Protein_A_ID,Protein_B_ID,Label,interaction_probability,confidence_score,uncertainty_score,explainability_score,predicted_label,error_type,probability_margin
83332.Rv0100,83332.Rv2959c,0,0.464,0.536,0.37120000000000003,0.4650666666666667,0,correct,0.035999999999999976
83332.Rv1967,83332.Rv1974,1,0.548,0.548,0.3616,0.47286666666666666,1,correct,0.04800000000000004
83332.Rv0620,83332.Rv0993,1,0.58,0.58,0.3360000000000001,0.49366666666666664,1,correct,0.07999999999999996
83332.Rv2591,83332.Rv2799,0,0.32,0.6799999999999999,0.256,0.5586666666666666,0,correct,0.18
83332.Rv1347c,83332.Rv2378c,1,0.698,0.698,0.24160000000000004,0.5703666666666667,1,correct,0.19799999999999995
83332.Rv0079,83332.Rv3456c,1,0.304,0.696,0.2432,0.5690666666666666,0,false_negative,0.196
83332.Rv0889c,83332.Rv0556,0,0.542,0.542,0.3664,0.4689666666666667,1,false_positive,0.04200000000000004
83332.Rv2939,83332.Rv0411c,0,0.732,0.732,0.21440000000000003,0.5924666666666667,1,false_positive,0.23199999999999998
